iter	AUC	Logloss
861	0.8020569384	0.5659444792
862	0.802058816	0.5659206238
863	0.8020672798	0.565902355
864	0.8020702004	0.5658739732
865	0.8020766079	0.5658481604
866	0.8020952344	0.565830748
867	0.8021171689	0.5658136618
868	0.8021214604	0.5657864217
869	0.8021366	0.5657672558
870	0.8021637797	0.5657515153
871	0.8021727204	0.5657308406
872	0.8021831512	0.5657065366
873	0.8021969497	0.5656866367
874	0.8022079468	0.5656676747
875	0.8022201061	0.5656456135
876	0.8022214174	0.5656254282
877	0.802223742	0.5656019805
878	0.8022406995	0.5655795116
879	0.8022441864	0.5655572873
880	0.8022568822	0.5655380398
