iter	Passed	Remaining
1407	74890	722949
1408	74945	722913
1409	74998	722859
1410	75059	722883
1411	75111	722816
1412	75174	722859
1413	75225	722780
1414	75280	722743
1415	75346	722819
1416	75396	722727
1417	75452	722703
1418	75518	722770
1419	75578	722789
1420	75639	722808
1421	75694	722773
1422	75751	722750
1423	75809	722745
1424	75860	722675
1425	75920	722679
1426	75967	722572
1427	76019	722500
1428	76081	722533
1429	76137	722510
1430	76192	722468
1431	76252	722485
1432	76310	722478
1433	76371	722497
1434	76423	722429
1435	76473	722343
1436	76539	722409
1437	76591	722350
1438	76641	722260
1439	76689	722163
1440	76738	722063
1441	76795	722050
1442	76855	722062
1443	76920	722119
1444	76977	722093
1445	77033	722068
1446	77093	722082
1447	77144	722007
1448	77197	721950
1449	77255	721939
1450	77305	721855
1451	77371	721918
1452	77420	721830
1453	77474	721781
1454	77531	721764
1455	77583	721701
1456	77636	721643
1457	77694	721627
1458	77751	721610
1459	77801	721531
1460	77855	721485
1461	77908	721423
1462	77953	721296
1463	78005	721230
1464	78059	721185
1465	78105	721068
1466	78157	720996
1467	78209	720936
1468	78267	720923
1469	78317	720843
1470	78374	720818
1471	78420	720697
1472	78476	720672
1473	78529	720618
1474	78577	720516
1475	78652	720657
1476	78711	720659
1477	78767	720630
1478	78835	720709
1479	78887	720648
1480	78937	720563
1481	78992	720525
1482	79049	720508
1483	79104	720472
1484	79157	720414
1485	79220	720449
1486	79289	720537
1487	79348	720538
1488	79407	720535
1489	79458	720460
1490	79518	720470
1491	79572	720422
1492	79621	720323
1493	79685	720370
1494	79748	720406
1495	79801	720350
1496	79851	720263
1497	79901	720179
1498	79960	720181
1499	80013	720123
1500	80065	720053
1501	80122	720037
1502	80179	720018
1503	80238	720009
1504	80295	719989
1505	80351	719964
1506	80403	719892
1507	80453	719811
1508	80518	719860
1509	80577	719857
1510	80636	719861
1511	80684	719755
1512	80735	719680
1513	80801	719741
1514	80856	719700
1515	80909	719646
1516	80972	719678
1517	81033	719696
1518	81090	719668
1519	81156	719727
1520	81206	719649
1521	81252	719528
1522	81308	719499
1523	81372	719536
1524	81432	719546
1525	81483	719466
1526	81544	719477
1527	81618	719612
1528	81674	719576
1529	81731	719554
1530	81785	719509
1531	81841	719475
1532	81896	719437
1533	81949	719385
1534	82004	719344
1535	82054	719259
1536	82112	719243
1537	82162	719162
1538	82222	719170
1539	82271	719073
1540	82320	718978
1541	82371	718911
1542	82423	718842
1543	82482	718841
1544	82540	718819
1545	82598	718812
1546	82652	718764
1547	82706	718709
1548	82759	718655
1549	82812	718602
1550	82863	718527
1551	82927	718558
1552	82976	718468
1553	83032	718438
1554	83089	718420
1555	83140	718338
1556	83189	718251
1557	83238	718162
1558	83302	718200
1559	83359	718173
1560	83413	718124
1561	83463	718039
1562	83517	717990
1563	83573	717965
1564	83624	717884
1565	83673	717794
1566	83724	717718
1567	83787	717749
1568	83844	717729
1569	83892	717629
1570	83938	717509
1571	83987	717419
1572	84040	717360
1573	84094	717310
1574	84149	717273
1575	84196	717162
1576	84249	717113
1577	84301	717042
1578	84359	717029
1579	84407	716931
1580	84463	716897
1581	84509	716780
1582	84559	716701
1583	84608	716611
1584	84671	716632
1585	84729	716624
1586	84789	716625
1587	84840	716547
1588	84885	716426
1589	84939	716375
1590	84988	716283
1591	85043	716247
1592	85102	716239
1593	85160	716226
1594	85215	716187
1595	85269	716136
1596	85324	716096
1597	85388	716131
1598	85435	716023
1599	85489	715978
1600	85539	715888
1601	85597	715876
1602	85654	715849
1603	85706	715789
1604	85761	715749
1605	85811	715666
1606	85866	715621
1607	85915	715538
1608	85972	715508
1609	86020	715411
1610	86070	715332
1611	86126	715302
1612	86183	715274
1613	86233	715195
1614	86287	715140
1615	86350	715168
1616	86398	715069
1617	86454	715041
1618	86510	715005
1619	86573	715030
1620	86628	714994
1621	86682	714941
1622	86739	714915
1623	86812	715026
1624	86872	715023
1625	86930	715012
1626	86983	714953
1627	87044	714964
1628	87095	714889
1629	87148	714831
1630	87208	714828
1631	87270	714847
1632	87340	714933
1633	87395	714886
1634	87454	714883
1635	87517	714900
1636	87568	714829
1637	87625	714803
1638	87673	714705
1639	87732	714701
1640	87783	714626
1641	87835	714556
1642	87882	714455
1643	87938	714420
1644	87990	714351
1645	88043	714295
1646	88105	714313
1647	88159	714261
1648	88209	714182
1649	88269	714182
1650	88334	714222
1651	88389	714177
1652	88440	714106
1653	88489	714014
1654	88541	713946
1655	88601	713951
1656	88649	713853
1657	88703	713803
1658	88772	713868
1659	88824	713807
1660	88876	713744
